File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF085LQJ	bed narrowPeak	peaks	ENCSR000EOA	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF548RPH, ENCFF992CZQ	1046285	ENCODE Processing Pipeline	7c29e28964b048bb5ef2fcca77809284		https://www.encodeproject.org/files/ENCFF085LQJ/@@download/ENCFF085LQJ.bed.gz	GRCh38				archived	s3://encode-public/2016/10/23/bf648feb-67fb-4f8e-a66c-dffa1720df8a/ENCFF085LQJ.bed.gz				
ENCFF097WPC	bed narrowPeak	peaks	ENCSR000EOA	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF184MNN, ENCFF967OQF	999704	ENCODE Processing Pipeline	e0ba89dbfadf370e173eff8803cd05d0		https://www.encodeproject.org/files/ENCFF097WPC/@@download/ENCFF097WPC.bed.gz	GRCh38				archived	s3://encode-public/2017/08/24/bd46859e-ded2-48a4-9bf1-5c0bca6fc7a7/ENCFF097WPC.bed.gz				
ENCFF771PFT	bed narrowPeak	peaks	ENCSR000EOA	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF822XHW, ENCFF967OQF	1076575	ENCODE Processing Pipeline	d6df257533e6e0411fa037139e06c7d3		https://www.encodeproject.org/files/ENCFF771PFT/@@download/ENCFF771PFT.bed.gz	GRCh38				archived	s3://encode-public/2017/08/24/f0d08a68-9f2a-4b23-8ebd-8ef30f346918/ENCFF771PFT.bed.gz				
ENCFF397IHK	bed narrowPeak	peaks	ENCSR000EOA	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF099RVX, ENCFF390DNP	995749	ENCODE Processing Pipeline	5ff342af2f79bcc11e24f5dbb43e9422		https://www.encodeproject.org/files/ENCFF397IHK/@@download/ENCFF397IHK.bed.gz	hg19				archived	s3://encode-public/2017/09/05/c104a8fa-fa26-4a5c-9a76-95737d814749/ENCFF397IHK.bed.gz				
ENCFF164HLK	bed narrowPeak	peaks	ENCSR000EOA	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF390DNP, ENCFF921KEB	1071943	ENCODE Processing Pipeline	10119db22fa09bece5e3ac66ef68debb		https://www.encodeproject.org/files/ENCFF164HLK/@@download/ENCFF164HLK.bed.gz	hg19				archived	s3://encode-public/2017/09/05/0d11e59b-ad4a-4ba5-9d47-4ea557541fcb/ENCFF164HLK.bed.gz				
ENCFF590ZCD	bed narrowPeak	peaks	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA					False	2018-01-29	ENCODE				1							ENCFF246WMU, ENCFF967OQF	3699383	ENCODE Processing Pipeline	8bd52e93aa1dc41ffe9593d2a406b30a		https://www.encodeproject.org/files/ENCFF590ZCD/@@download/ENCFF590ZCD.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/9bc71569-0937-41e4-9c71-d78f30636a7e/ENCFF590ZCD.bed.gz				
ENCFF474KFO	bed narrowPeak	peaks	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA					False	2018-01-29	ENCODE				1							ENCFF246WMU, ENCFF967OQF	3706052	ENCODE Processing Pipeline	1c5a6623ccadf526b8c8f2ecd6ebb40d		https://www.encodeproject.org/files/ENCFF474KFO/@@download/ENCFF474KFO.bed.gz	GRCh38				archived	s3://encode-public/2018/01/18/4a82e6d8-a719-42ca-b40c-3a87b780ea02/ENCFF474KFO.bed.gz				
ENCFF371AFC	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF738LZH, ENCFF967OQF	598637	ENCODE Processing Pipeline	d24ccc1c02a092b456488d734af3ff6e		https://www.encodeproject.org/files/ENCFF371AFC/@@download/ENCFF371AFC.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/b067be2e-2d17-45df-ade5-e66b6c732e6a/ENCFF371AFC.bed.gz				
ENCFF531SWI	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF651JTJ	597798	ENCODE Processing Pipeline	6e9a84bc59f6abd5c4572be5ee132aa7		https://www.encodeproject.org/files/ENCFF531SWI/@@download/ENCFF531SWI.bed.gz	hg19				released	s3://encode-public/2018/05/14/2444f39b-6810-45af-b1ed-51f392980da1/ENCFF531SWI.bed.gz				
ENCFF602DIZ	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF228PWX, ENCFF992CZQ	562639	ENCODE Processing Pipeline	eef9c785e4c0da6ea9a5463ef7147307		https://www.encodeproject.org/files/ENCFF602DIZ/@@download/ENCFF602DIZ.bed.gz	GRCh38				archived	s3://encode-public/2016/11/03/245ce022-d603-4159-abe4-d6cfcfd0704e/ENCFF602DIZ.bed.gz				
ENCFF986ZJA	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF104CYR, ENCFF163ZHO	560119	ENCODE Processing Pipeline	bbfb078539b41b291eabcf83e42a290d		https://www.encodeproject.org/files/ENCFF986ZJA/@@download/ENCFF986ZJA.bed.gz	hg19				archived	s3://encode-public/2016/11/03/84d2e4cc-f893-4718-853d-01fd68a00ff9/ENCFF986ZJA.bed.gz				
ENCFF514DWJ	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF738LZH, ENCFF967OQF	599429	ENCODE Processing Pipeline	e4fdf13016d34b8c5fbd262476431ec5		https://www.encodeproject.org/files/ENCFF514DWJ/@@download/ENCFF514DWJ.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/ca47dae6-5960-4f21-9a24-61a9fd6172d7/ENCFF514DWJ.bed.gz				
ENCFF354ROB	bed narrowPeak	peaks	ENCSR039ZVQ	DNase-seq	UBERON:0018117	left renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF651JTJ	597600	ENCODE Processing Pipeline	2408b0b530fe053de2a15ac487ab2203		https://www.encodeproject.org/files/ENCFF354ROB/@@download/ENCFF354ROB.bed.gz	hg19				archived	s3://encode-public/2017/09/19/85d5956d-a00a-4b03-b82f-529decf36d74/ENCFF354ROB.bed.gz				
ENCFF082JST	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF310KSF	3477888	John Stamatoyannopoulos, UW	28ff529c37c5eebf6acc3ab5cc293591		https://www.encodeproject.org/files/ENCFF082JST/@@download/ENCFF082JST.bed.gz	hg19				archived	s3://encode-public/2015/10/30/ae04ce44-95a8-4098-836e-15cd35c0dbe5/ENCFF082JST.bed.gz				
ENCFF416BBZ	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF509TZK	3843911	John Stamatoyannopoulos, UW	e45a5987428d64db7d31eaae1a17d9f7		https://www.encodeproject.org/files/ENCFF416BBZ/@@download/ENCFF416BBZ.bed.gz	hg19				archived	s3://encode-public/2015/10/30/33d2b2af-f1a7-459c-b13a-812b0e0a291c/ENCFF416BBZ.bed.gz				
ENCFF062XSO	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF407ZYK, ENCFF967OQF	2278490	ENCODE Processing Pipeline	7fec452f543479e9ab5a7bcb7a1525ce		https://www.encodeproject.org/files/ENCFF062XSO/@@download/ENCFF062XSO.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/e0f26a3c-6fe0-4553-ad80-ea0288a540ea/ENCFF062XSO.bed.gz				
ENCFF125KHG	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF235MHO, ENCFF967OQF	3117557	ENCODE Processing Pipeline	afb1dcbdc5f75a2c31ab283bcb703b81		https://www.encodeproject.org/files/ENCFF125KHG/@@download/ENCFF125KHG.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/0c659a3c-3e02-4a9d-b993-8fa50c3e79c6/ENCFF125KHG.bed.gz				
ENCFF721SJU	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF390DNP, ENCFF752TCZ	2274794	ENCODE Processing Pipeline	dcd611945ed667afcdf0cf390b7f3c3a		https://www.encodeproject.org/files/ENCFF721SJU/@@download/ENCFF721SJU.bed.gz	hg19				released	s3://encode-public/2018/05/14/0bfdb3d2-d860-44b4-b383-16f2af32ce78/ENCFF721SJU.bed.gz				
ENCFF733JSK	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF390DNP, ENCFF531PVM	3114151	ENCODE Processing Pipeline	23521d76fedb25a76b8db695e2f547e9		https://www.encodeproject.org/files/ENCFF733JSK/@@download/ENCFF733JSK.bed.gz	hg19				released	s3://encode-public/2018/05/14/58eb1ac8-b372-44d1-a8aa-bb868c80c3f8/ENCFF733JSK.bed.gz				
ENCFF774UUN	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF163ZHO, ENCFF518JFL	2227042	ENCODE Processing Pipeline	54ebf52fc93a37316a4ae9ce4b4cae20		https://www.encodeproject.org/files/ENCFF774UUN/@@download/ENCFF774UUN.bed.gz	hg19				archived	s3://encode-public/2016/10/07/f8a87385-1c36-4cff-9498-2ccde784cfec/ENCFF774UUN.bed.gz				
ENCFF197PGF	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF163ZHO, ENCFF825GFZ	3037118	ENCODE Processing Pipeline	5aeb429ea29cb68ea6bf5ce3bb0c8a00		https://www.encodeproject.org/files/ENCFF197PGF/@@download/ENCFF197PGF.bed.gz	hg19				archived	s3://encode-public/2016/10/07/f06ae6ab-d7be-48c9-9be0-8176941a4405/ENCFF197PGF.bed.gz				
ENCFF639SWV	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF065OKG, ENCFF992CZQ	2230477	ENCODE Processing Pipeline	0362e5e9207af09a841c5e2ef6727361		https://www.encodeproject.org/files/ENCFF639SWV/@@download/ENCFF639SWV.bed.gz	GRCh38				archived	s3://encode-public/2016/10/18/1e2981ad-80c8-498d-a6ac-ce176e5098c4/ENCFF639SWV.bed.gz				
ENCFF226BKR	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF212RTX, ENCFF992CZQ	3046566	ENCODE Processing Pipeline	d5b95a8f8737609c5d9308706f6ad696		https://www.encodeproject.org/files/ENCFF226BKR/@@download/ENCFF226BKR.bed.gz	GRCh38				archived	s3://encode-public/2016/10/18/2757148a-9dc2-4b2a-ba30-8795f5b7ef82/ENCFF226BKR.bed.gz				
ENCFF209VMO	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF407ZYK, ENCFF967OQF	2281350	ENCODE Processing Pipeline	93ef085bf0d81ad25fcca7a18672ba23		https://www.encodeproject.org/files/ENCFF209VMO/@@download/ENCFF209VMO.bed.gz	GRCh38				archived	s3://encode-public/2017/08/24/96ce7cb8-c373-4148-bdb7-ed58bb96ce57/ENCFF209VMO.bed.gz				
ENCFF203EIK	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF235MHO, ENCFF967OQF	3121788	ENCODE Processing Pipeline	b7d99579303408df4da862cc761ad573		https://www.encodeproject.org/files/ENCFF203EIK/@@download/ENCFF203EIK.bed.gz	GRCh38				archived	s3://encode-public/2017/08/24/82012d35-57e1-41ce-8a14-640b459334e6/ENCFF203EIK.bed.gz				
ENCFF225RSO	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				1							ENCFF390DNP, ENCFF752TCZ	2274690	ENCODE Processing Pipeline	e179966d50ee1a718103dda3c3c99f8d		https://www.encodeproject.org/files/ENCFF225RSO/@@download/ENCFF225RSO.bed.gz	hg19				archived	s3://encode-public/2017/09/10/7a91b3d1-63d8-4900-8dba-8d798a490659/ENCFF225RSO.bed.gz				
ENCFF463YJR	bed narrowPeak	peaks	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	hydrocortisone succinate, interleukin-3, erythropoietin, kit ligand		6 day								DNA					False	2015-08-31	ENCODE				2							ENCFF390DNP, ENCFF531PVM	3114142	ENCODE Processing Pipeline	91564a316c4e36dd533d3480b9238041		https://www.encodeproject.org/files/ENCFF463YJR/@@download/ENCFF463YJR.bed.gz	hg19				archived	s3://encode-public/2017/09/10/9b69cf25-c8ad-43a3-bca2-a8601a315ccd/ENCFF463YJR.bed.gz				
ENCFF001WCS	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF001CJI	1957693	John Stamatoyannopoulos, UW	1c2639bca97fb98cd8175b6ddbf3a05c		https://www.encodeproject.org/files/ENCFF001WCS/@@download/ENCFF001WCS.bed.gz	hg19				archived	s3://encode-public/2012/07/12/1cd0699a-4c9e-4de5-b525-636fdbc1bd00/ENCFF001WCS.narrowPeak.gz				
ENCFF001WTI	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF001EIL	1342795	John Stamatoyannopoulos, UW	0825833ebb0f69edba2616cbdf8a33e9		https://www.encodeproject.org/files/ENCFF001WTI/@@download/ENCFF001WTI.bed.gz	hg19				archived	s3://encode-public/2011/01/11/425f46cd-a1a6-46ab-9cdb-6ab6a5be4f86/ENCFF001WTI.narrowPeak.gz				
ENCFF215XIO	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF881MGL, ENCFF967OQF	1425846	ENCODE Processing Pipeline	80bd51433b34b0d7963b2652e764a01f		https://www.encodeproject.org/files/ENCFF215XIO/@@download/ENCFF215XIO.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/8b14044d-9ce5-40b4-85ad-e3b54cd34ff4/ENCFF215XIO.bed.gz				
ENCFF195KNE	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF349FVG, ENCFF390DNP	1423018	ENCODE Processing Pipeline	0607e2969b682c532c1d03f09c0d4ee1		https://www.encodeproject.org/files/ENCFF195KNE/@@download/ENCFF195KNE.bed.gz	hg19				released	s3://encode-public/2018/05/14/af9c59ca-8ae0-449a-a837-767cedb8300a/ENCFF195KNE.bed.gz				
ENCFF608NJK	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF881MGL, ENCFF967OQF	1431330	ENCODE Processing Pipeline	b27e74a72f62609dfd0bdb78ae736f3b		https://www.encodeproject.org/files/ENCFF608NJK/@@download/ENCFF608NJK.bed.gz	GRCh38				archived	s3://encode-public/2017/09/25/eb8b905d-6476-4fa4-8c61-50e1e9655366/ENCFF608NJK.bed.gz				
ENCFF987AZZ	bed narrowPeak	peaks	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF349FVG, ENCFF390DNP	1422701	ENCODE Processing Pipeline	27d1b49d77947207e93b0f0501659b26		https://www.encodeproject.org/files/ENCFF987AZZ/@@download/ENCFF987AZZ.bed.gz	hg19				archived	s3://encode-public/2017/09/28/37f168c9-a026-425e-817c-b5ddd650e71e/ENCFF987AZZ.bed.gz				
ENCFF586UYY	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF512KST, ENCFF967OQF	1387751	ENCODE Processing Pipeline	6e457307bc226c0442d9ea0f9d66ca82		https://www.encodeproject.org/files/ENCFF586UYY/@@download/ENCFF586UYY.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/cc8e66d5-0ac7-4f6f-baa0-dce24fb0e173/ENCFF586UYY.bed.gz				
ENCFF134ZJK	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF698LQU	1386861	ENCODE Processing Pipeline	fb028e2873879e8ddc95495234ce3033		https://www.encodeproject.org/files/ENCFF134ZJK/@@download/ENCFF134ZJK.bed.gz	hg19				released	s3://encode-public/2018/05/14/4d42e391-392c-421f-999f-1d7475126104/ENCFF134ZJK.bed.gz				
ENCFF465GKU	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF192RMW	1312926	ENCODE Processing Pipeline	680fd842099a6479b2efc1367cf66e52		https://www.encodeproject.org/files/ENCFF465GKU/@@download/ENCFF465GKU.bed.gz	hg19				archived	s3://encode-public/2016/11/18/a0f7e5c7-6d87-47b1-8cb7-060af299e5fd/ENCFF465GKU.bed.gz				
ENCFF016DSD	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF318BKA, ENCFF992CZQ	1317824	ENCODE Processing Pipeline	8097632220b370c69ea2dc95bc0b4edc		https://www.encodeproject.org/files/ENCFF016DSD/@@download/ENCFF016DSD.bed.gz	GRCh38				archived	s3://encode-public/2016/11/18/88bbbb33-b2a2-47ea-b1d3-47a749656f96/ENCFF016DSD.bed.gz				
ENCFF994DZN	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF512KST, ENCFF967OQF	1389781	ENCODE Processing Pipeline	f985d0de58dd613d145cba51d18ced98		https://www.encodeproject.org/files/ENCFF994DZN/@@download/ENCFF994DZN.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/6f69788e-ca6d-4cd5-a407-b250ff1c91ea/ENCFF994DZN.bed.gz				
ENCFF304MPW	bed narrowPeak	peaks	ENCSR930AUG	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF698LQU	1386782	ENCODE Processing Pipeline	db216e06a1208d375843178347e6a27b		https://www.encodeproject.org/files/ENCFF304MPW/@@download/ENCFF304MPW.bed.gz	hg19				archived	s3://encode-public/2017/09/19/0c34372a-ee9a-41a5-872e-f999c4c9c857/ENCFF304MPW.bed.gz				
ENCFF001UWX	bed narrowPeak	peaks	ENCSR000EKV	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE												2173864	Gregory Crawford, Duke	5232eb9b3c30535233ece0961a3058dd		https://www.encodeproject.org/files/ENCFF001UWX/@@download/ENCFF001UWX.bed.gz	hg19				archived	s3://encode-public/2011/01/11/8faac4ba-dfc1-4167-8774-b0fb37c67b92/ENCFF001UWX.narrowPeak.gz				
ENCFF572EDP	bed narrowPeak	peaks	ENCSR000EKV	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF352QIM, ENCFF967OQF	1919	ENCODE Processing Pipeline	96c62e45f9678fd0da66a0704178584a		https://www.encodeproject.org/files/ENCFF572EDP/@@download/ENCFF572EDP.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/40f194dd-09ea-4e22-8f3e-ea27a54b9647/ENCFF572EDP.bed.gz				
ENCFF753XBM	bed narrowPeak	peaks	ENCSR000EKV	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF235MHS, ENCFF390DNP	1678546	ENCODE Processing Pipeline	08d0b5307bc9a07a36e65ee0d715ac66		https://www.encodeproject.org/files/ENCFF753XBM/@@download/ENCFF753XBM.bed.gz	hg19				released	s3://encode-public/2018/05/14/0f6cd61d-bca5-4d96-9bfd-60fb504f70a7/ENCFF753XBM.bed.gz				
ENCFF105ZIM	bed narrowPeak	peaks	ENCSR000EKV	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF352QIM, ENCFF967OQF	1934	ENCODE Processing Pipeline	f79562d48cf15d54c3883dfe14c7c490		https://www.encodeproject.org/files/ENCFF105ZIM/@@download/ENCFF105ZIM.bed.gz	GRCh38				archived	s3://encode-public/2017/10/03/740d659e-8402-452a-ae0d-785f39af2c1c/ENCFF105ZIM.bed.gz				
ENCFF286TMR	bed narrowPeak	peaks	ENCSR000EKV	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF235MHS, ENCFF390DNP	1679618	ENCODE Processing Pipeline	98a3bd67cc25b23a144315a3ee41e004		https://www.encodeproject.org/files/ENCFF286TMR/@@download/ENCFF286TMR.bed.gz	hg19				archived	s3://encode-public/2017/10/03/c8cba6d3-d049-43da-b8e6-a39cf086eeec/ENCFF286TMR.bed.gz				
ENCFF001UXO	bed narrowPeak	peaks	ENCSR000ELO	DNase-seq	UBERON:0008450	psoas muscle	tissue	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE												2289663	Gregory Crawford, Duke	3aa80bd4308c272847b56f8e694fcac3		https://www.encodeproject.org/files/ENCFF001UXO/@@download/ENCFF001UXO.bed.gz	hg19				archived	s3://encode-public/2011/01/11/ac86805a-ea2c-4b86-a1f1-098d9830b5a9/ENCFF001UXO.narrowPeak.gz				
ENCFF606KOP	bed narrowPeak	peaks	ENCSR000ELO	DNase-seq	UBERON:0008450	psoas muscle	tissue	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF191HCE, ENCFF967OQF	2184593	ENCODE Processing Pipeline	209cdfbe710dad1662b2a4d447ee59e7		https://www.encodeproject.org/files/ENCFF606KOP/@@download/ENCFF606KOP.bed.gz	GRCh38				released	s3://encode-public/2018/05/09/6acfe283-5d14-46af-902c-f8f4f7ac3383/ENCFF606KOP.bed.gz				
ENCFF217FCM	bed narrowPeak	peaks	ENCSR000ELO	DNase-seq	UBERON:0008450	psoas muscle	tissue	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				2							ENCFF111FGC, ENCFF967OQF	1267868	ENCODE Processing Pipeline	54191fc211a3bd7010c517206a5813c1		https://www.encodeproject.org/files/ENCFF217FCM/@@download/ENCFF217FCM.bed.gz	GRCh38				released	s3://encode-public/2018/05/09/55f6f9c4-3a02-40b8-8239-b0a79fb4e648/ENCFF217FCM.bed.gz				
ENCFF654CVF	bed narrowPeak	peaks	ENCSR000ELO	DNase-seq	UBERON:0008450	psoas muscle	tissue	Homo sapiens											DNA		see document	see document		False	2012-08-28	ENCODE				2							ENCFF390DNP, ENCFF612IRW	1275613	ENCODE Processing Pipeline	7f53ad7ea0edc1b01c17c7532534bf5d		https://www.encodeproject.org/files/ENCFF654CVF/@@download/ENCFF654CVF.bed.gz	hg19				released	s3://encode-public/2018/05/14/3be01236-6e57-446e-8a11-46db5d3a7085/ENCFF654CVF.bed.gz				
