FANTOM5_sample_id	FANTOM5_sample_name	treatment	cell_line	cancer	sex	add	OnTarget_cell_or_tissue	comments
CNhs11376	Endothelial Cells - Microvascular, donor2	No	No	No	female	Yes	endothelial cell (microvasculature)	
CNhs12024	Endothelial Cells - Microvascular, donor3	No	No	No	female	Yes	endothelial cell (microvasculature)	
CNhs11926	Endothelial Cells - Thoracic, donor1	No	No	No	female	Yes	endothelial cell (thorax)	
CNhs11978	Endothelial Cells - Thoracic, donor2	No	No	No	male	Yes	endothelial cell (thorax)	
CNhs10872	Endothelial Cells - Umbilical vein, donor1	No	No	No		Yes	endothelial cell (umbilical vein)	
CNhs11967	Endothelial Cells - Umbilical vein, donor2	No	No	No		Yes	endothelial cell (umbilical vein)	
CNhs12010	Endothelial Cells - Umbilical vein, donor3	No	No	No		Yes	endothelial cell (umbilical vein)	
CNhs12497	Endothelial Cells - Vein, donor1	No	No	No	male	Yes	endothelial cell (vein)	
CNhs11377	Endothelial Cells - Vein, donor2	No	No	No	male	Yes	endothelial cell (vein)	
CNhs12026	Endothelial Cells - Vein, donor3	No	No	No	female	Yes	endothelial cell (vein)	
CNhs12547	Eosinophils, donor1	No	No	No		Yes	eosinophil	
CNhs12548	Eosinophils, donor2	No	No	No		Yes	eosinophil	
CNhs12549	Eosinophils, donor3	No	No	No		Yes	eosinophil	
CNhs10743	epidermoid carcinoma cell line:A431	No	Yes	Yes	female	Yes	A-431	Vulvar squamous cell carcinoma
CNhs10748	epidermoid carcinoma cell line:Ca Ski	No	Yes	Yes	female	Yes	Ca Ski	Human papillomavirus-related cervical squamous cell carcinoma
CNhs12847	epididymis, adult	No	No	No	male	Yes	epididymis	
CNhs11247	epithelioid sarcoma cell line:HS-ES-1	No	Yes	Yes	male	Yes	HS-ES-1	Epithelioid sarcoma
CNhs14239	epithelioid sarcoma cell line:HS-ES-2R	No	Yes	Yes	male	Yes	HS-ES-2R	Epithelioid sarcoma
CNhs12325	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1	No	Yes	Yes	female	Yes	HeLa S3	Human papillomavirus-related endocervical adenocarcinoma
CNhs12326	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2	No	Yes	Yes	female	Yes	HeLa S3	Human papillomavirus-related endocervical adenocarcinoma
CNhs12327	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3	No	Yes	Yes	female	Yes	HeLa S3	Human papillomavirus-related endocervical adenocarcinoma
CNhs11323	Esophageal Epithelial Cells, donor1	No	No	No		Yes	epithelial cell (esophagus)	
CNhs12083	Esophageal Epithelial Cells, donor2	No	No	No		Yes	epithelial cell (esophagus)	
CNhs12622	Esophageal Epithelial Cells, donor3	No	No	No		Yes	epithelial cell (esophagus)	
CNhs10620	esophagus, adult, pool1	No	No	No		Yes	esophagus	
CNhs11836	Ewing's sarcoma cell line:Hs 863.T	No	Yes	Yes	female	Yes	Hs 863.T	Ewing sarcoma
CNhs10728	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS	No	Yes	Yes	female	Yes	H-EMC-SS	Chondrosarcoma
CNhs13444	eye - muscle inferior rectus, donor1	No	No	No	male	Yes	skeletal muscle (inferior rectus)	
CNhs13442	eye - muscle lateral, donor2	No	No	No	male	Yes	skeletal muscle (lateral rectus)	
CNhs13443	eye - muscle medial, donor2	No	No	No	male	Yes	skeletal muscle (medial rectus)	
CNhs13441	eye - muscle superior, donor2	No	No	No	male	Yes	skeletal muscle (superior rectus)	
CNhs13440	eye - vitreous humor, donor1	No	No	No	male	Yes	vitreous humor	
CNhs11762	eye, fetal, donor1	No	No	No	female	Yes	eye (fetal)	
CNhs14558	Fibroblast - Aortic Adventitial donor2 (cytoplasmic fraction)	No	No	No	female	No	fibroblast (aortic adventitia)	cytoplasmic fraction
CNhs14559	Fibroblast - Aortic Adventitial donor3 (cytoplasmic fraction)	No	No	No	female	No	fibroblast (aortic adventitia)	cytoplasmic fraction
CNhs10874	Fibroblast - Aortic Adventitial, donor1	No	No	No	female	Yes	fibroblast (aortic adventitia)	
CNhs11968	Fibroblast - Aortic Adventitial, donor2	No	No	No	male	Yes	fibroblast (aortic adventitia)	
CNhs12581	Fibroblast - Aortic Adventitial, donor2 (nuclear fraction)	No	No	No	female	No	fibroblast (aortic adventitia)	nuclear fraction
CNhs12011	Fibroblast - Aortic Adventitial, donor3	No	No	No	female	Yes	fibroblast (aortic adventitia)	
CNhs12400	Fibroblast - Aortic Adventitial, donor3 (nuclear fraction)	No	No	No	female	No	fibroblast (aortic adventitia)	nuclear fraction
CNhs12498	Fibroblast - Cardiac, donor1	No	No	No	male	Yes	fibroblast (heart; embryo)	
CNhs11378	Fibroblast - Cardiac, donor2	No	No	No	female	Yes	fibroblast (heart; embryo)	
CNhs12027	Fibroblast - Cardiac, donor3	No	No	No	female	Yes	fibroblast (heart; embryo)	
CNhs11909	Fibroblast - Cardiac, donor4	No	No	No		Yes	fibroblast (heart; fetal)	
CNhs12057	Fibroblast - Cardiac, donor5	No	No	No		Yes	fibroblast (heart; fetal)	
CNhs12061	Fibroblast - Cardiac, donor6	No	No	No		Yes	fibroblast (heart; fetal)	
CNhs11319	Fibroblast - Choroid Plexus, donor1	No	No	No		Yes	fibroblast (choroid plexus)	
CNhs12344	Fibroblast - Choroid Plexus, donor2	No	No	No		Yes	fibroblast (choroid plexus)	
CNhs12620	Fibroblast - Choroid Plexus, donor3	No	No	No		Yes	fibroblast (choroid plexus)	
CNhs11339	Fibroblast - Conjunctival, donor1	No	No	No		Yes	fibroblast (conjunctiva)	
CNhs12734	Fibroblast - Conjunctival, donor3	No	No	No		Yes	fibroblast (conjunctiva)	
CNhs12499	Fibroblast - Dermal, donor1	No	No	No	male	Yes	fibroblast (dermis)	
CNhs11379	Fibroblast - Dermal, donor2	No	No	No	female	Yes	fibroblast (dermis)	
CNhs12028	Fibroblast - Dermal, donor3	No	No	No	female	Yes	fibroblast (dermis)	
CNhs12052	Fibroblast - Dermal, donor4	No	No	No		Yes	fibroblast (dermis)	
CNhs12055	Fibroblast - Dermal, donor5	No	No	No		Yes	fibroblast (dermis)	
CNhs12059	Fibroblast - Dermal, donor6	No	No	No		Yes	fibroblast (dermis)	
CNhs10866	Fibroblast - Gingival, donor1	No	No	No		Yes	fibroblast (gingiva; fetal)	
CNhs14135	Fibroblast - Gingival, donor10 (periodontitis)	No	No	No		No	fibroblast (gingiva; fetal)	Periodontitis
CNhs11961	Fibroblast - Gingival, donor2	No	No	No		Yes	fibroblast (gingiva; fetal)	
CNhs12006	Fibroblast - Gingival, donor3	No	No	No		Yes	fibroblast (gingiva; fetal)	
CNhs10848	Fibroblast - Gingival, donor4 (GFH2)	No	No	No	male	Yes	fibroblast (gingiva)	
CNhs11952	Fibroblast - Gingival, donor5 (GFH3)	No	No	No	male	Yes	fibroblast (gingiva)	
CNhs14128	Fibroblast - Gingival, donor6 (aggressive periodontitis)	No	No	No	female	No	fibroblast (gingiva)	Aggressive periodontitis
CNhs14129	Fibroblast - Gingival, donor6 (control)	No	No	No	female	Yes	fibroblast (gingiva)	
CNhs14130	Fibroblast - Gingival, donor7 (aggressive periodontitis)	No	No	No	female	No	fibroblast (gingiva)	Aggressive periodontitis
CNhs14131	Fibroblast - Gingival, donor7 (control)	No	No	No	female	Yes	fibroblast (gingiva)	
CNhs14132	Fibroblast - Gingival, donor8 (chronic periodontitis)	No	No	No	male	No	fibroblast (gingiva)	Chronic periodontitis
CNhs14133	Fibroblast - Gingival, donor8 (control)	No	No	No	male	Yes	fibroblast (gingiva)	
CNhs14134	Fibroblast - Gingival, donor9 (control)	No	No	No	female	Yes	fibroblast (gingiva)	
CNhs12500	Fibroblast - Lung, donor1	No	No	No	female	Yes	fibroblast (lung; embryo)	
CNhs11380	Fibroblast - Lung, donor2	No	No	No	male	Yes	fibroblast (lung; embryo)	
CNhs12029	Fibroblast - Lung, donor3	No	No	No	male	Yes	fibroblast (lung; embryo)	
CNhs11322	Fibroblast - Lymphatic, donor1	No	No	No		Yes	fibroblast (lymphatic system)	
CNhs12082	Fibroblast - Lymphatic, donor2	No	No	No		Yes	fibroblast (lymphatic system)	
CNhs12118	Fibroblast - Lymphatic, donor3	No	No	No		Yes	fibroblast (lymphatic system)	
CNhs11348	Fibroblast - Mammary, donor1	No	No	No		Yes	fibroblast (breast)	
CNhs12103	Fibroblast - Mammary, donor2	No	No	No		Yes	fibroblast (breast)	
CNhs12128	Fibroblast - Mammary, donor3	No	No	No		Yes	fibroblast (breast)	
CNhs10867	Fibroblast - Periodontal Ligament, donor1	No	No	No		Yes	fibroblast (periodontal ligament; fetal)	
CNhs11962	Fibroblast - Periodontal Ligament, donor2	No	No	No		Yes	fibroblast (periodontal ligament; fetal)	
CNhs11907	Fibroblast - Periodontal Ligament, donor3	No	No	No		Yes	fibroblast (periodontal ligament; fetal)	
CNhs12493	Fibroblast - Periodontal Ligament, donor4 (PL29)	No	No	No	female	Yes	fibroblast (periodontal ligament)	
CNhs11953	Fibroblast - Periodontal Ligament, donor5 (PL30)	No	No	No	male	Yes	fibroblast (periodontal ligament)	
CNhs11996	Fibroblast - Periodontal Ligament, donor6 (PLH3)	No	No	No	male	Yes	fibroblast (periodontal ligament)	
CNhs10878	Fibroblast - Pulmonary Artery, donor1	No	No	No		Yes	fibroblast (pulmonary artery)	
CNhs11353	Fibroblast - skin dystrophia myotonica, donor1	No	No	No	female	No	fibroblast (skin)	Dystrophia myotonica
CNhs12405	Fibroblast - skin dystrophia myotonica, donor1 (nuclear fraction)	No	No	No	female	No	fibroblast (skin)	Dystrophia myotonica
CNhs11354	Fibroblast - skin dystrophia myotonica, donor2	No	No	No	male	No	fibroblast (skin)	Dystrophia myotonica
CNhs11913	Fibroblast - skin dystrophia myotonica, donor3	No	No	No	male	No	fibroblast (skin)	Dystrophia myotonica
CNhs12399	Fibroblast - skin dystrophia myotonica, donor3 (nuclear fraction)	No	No	No	male	No	fibroblast (skin)	Dystrophia myotonica
CNhs11351	Fibroblast - skin normal, donor1	No	No	No	male	Yes	fibroblast (skin)	
CNhs12403	Fibroblast - skin normal, donor1 (nuclear fraction)	No	No	No	male	No	fibroblast (skin)	Nuclear fraction
CNhs11914	Fibroblast - skin normal, donor2	No	No	No	male	Yes	fibroblast (skin; child)	
CNhs12582	Fibroblast - skin normal, donor2 (nuclear fraction)	No	No	No	male	No	fibroblast (skin; child)	Nuclear fraction
CNhs11074	Fibroblast - skin spinal muscular atrophy, donor1	No	No	No	male	No	fibroblast (skin; child)	Spinal muscular atrophy
CNhs12404	Fibroblast - skin spinal muscular atrophy, donor1 (nuclear fraction)	No	No	No	male	No	fibroblast (skin; child)	Spinal muscular atrophy
CNhs11911	Fibroblast - skin spinal muscular atrophy, donor2	No	No	No	male	No	fibroblast (skin; child)	Spinal muscular atrophy
CNhs11912	Fibroblast - skin spinal muscular atrophy, donor3	No	No	No	male	No	fibroblast (skin; child)	Spinal muscular atrophy
CNhs12398	Fibroblast - skin spinal muscular atrophy, donor3 (nuclear fraction)	No	No	No	male	No	fibroblast (skin; child)	Spinal muscular atrophy
CNhs11352	Fibroblast - skin walker warburg, donor1	No	No	No	male	No	fibroblast (skin; newborn)	Walker-Warburg syndrome
CNhs14560	Fibroblast - skin, normal donor1 (cytoplasmic fraction)	No	No	No	male	No	fibroblast (skin)	
CNhs14561	Fibroblast - skin, normal donor2 (cytoplasmic fraction)	No	No	No	male	No	fibroblast (skin; child)	
CNhs11343	Fibroblast - Villous Mesenchymal, donor1	No	No	No		Yes	fibroblast (mesenchymal villi; embryo)	
CNhs12099	Fibroblast - Villous Mesenchymal, donor2	No	No	No		Yes	fibroblast (mesenchymal villi; embryo)	
CNhs12920	Fibroblast - Villous Mesenchymal, donor3	No	No	No		Yes	fibroblast (mesenchymal villi; embryo)	
CNhs11860	fibrosarcoma cell line:HT-1080	No	Yes	Yes	male	Yes	HT-1080	Fibrosarcoma
CNhs11842	fibrous histiocytoma cell line:GCT TIB-223	No	Yes	Yes	male	Yes	GCT	Undifferentiated pleomorphic sarcoma
CNhs13445	Fingernail (including nail plate, eponychium and hyponychium), donor2	No	No	No	male	Yes	fingernail	
CNhs10647	frontal lobe, adult, pool1	No	No	No		Yes	frontal lobe	
CNhs11256	gall bladder carcinoma cell line:TGBC14TKB	No	Yes	Yes	female	Yes	TGBC14TKB	Gallbladder carcinoma
CNhs10733	gall bladder carcinoma cell line:TGBC2TKB	No	Yes	Yes	female	Yes	TGBC2TKB	Gallbladder carcinoma
CNhs12848	gall bladder, adult	No	No	No	male	Yes	gallbladder	
CNhs13914	gamma delta positive T cells, donor1	No	No	No	male	Yes	T cell (gamma/delta)	
CNhs13915	gamma delta positive T cells, donor2	No	No	No	male	Yes	T cell (gamma/delta)	
CNhs11737	gastric adenocarcinoma cell line:MKN1	No	Yes	Yes	male	Yes	MKN1	Gastric adenosquamous carcinoma
CNhs11819	gastric adenocarcinoma cell line:MKN45	No	Yes	Yes	female	Yes	MKN45	Gastric adenocarcinoma
CNhs11286	gastric cancer cell line:AZ521	No	Yes	Yes	male	Yes	AZ-521	Duodenal adenocarcinoma
CNhs14241	gastric cancer cell line:GSS	No	Yes	Yes	male	Yes	GSS	Gastric carcinoma
CNhs11738	gastrointestinal carcinoma cell line:ECC12	No	Yes	Yes	male	Yes	ECC12	Gastric small cell neuroendocrine carcinoma
CNhs11274	giant cell carcinoma cell line:LU65	No	Yes	Yes	male	Yes	Lu-65	Lung giant cell carcinoma
CNhs10751	giant cell carcinoma cell line:Lu99B	No	Yes	Yes	male	Yes	Lu-99B	Lung giant cell carcinoma
CNhs11061	Gingival epithelial cells, donor1 (GEA11)	No	No	No	female	Yes	epithelial cell (gingiva)	
CNhs11896	Gingival epithelial cells, donor2 (GEA14)	No	No	No	female	Yes	epithelial cell (gingiva)	
CNhs11903	Gingival epithelial cells, donor3 (GEA15)	No	No	No	male	Yes	epithelial cell (gingiva)	
CNhs11824	glassy cell carcinoma cell line:HOKUG	No	Yes	Yes	female	Yes	HOKUG	Cervical adenosquamous carcinoma, glassy cell variant 
CNhs11185	glioblastoma cell line:A172, tech_rep1	No	Yes	Yes	male	Yes	A-172	Glioblastoma
CNhs11248	glioblastoma cell line:A172, tech_rep2	No	Yes	Yes	male	Yes	A-172	Glioblastoma
CNhs11272	glioblastoma cell line:T98G	No	Yes	Yes	male	Yes	T98G	Glioblastoma
CNhs10731	glioma cell line:GI-1	No	Yes	Yes	male	Yes	GI-1	Gliosarcoma
CNhs13801	globus pallidus - adult, donor10196	No	No	No	female	Yes	globus pallidus	
CNhs12319	globus pallidus, adult, donor10252	No	No	No	female	Yes	globus pallidus	
CNhs14549	globus pallidus, adult, donor10258	No	No	No	female	Yes	globus pallidus	
CNhs14082	globus pallidus, newborn, donor10223	No	No	No	male	Yes	globus pallidus (newborn)	
CNhs12519	granulocyte macrophage progenitor, donor1	No	No	No		Yes	granulocyte/macrophage progenitor cell	
CNhs12524	granulocyte macrophage progenitor, donor2	No	No	No		Yes	granulocyte/macrophage progenitor cell	
CNhs12528	granulocyte macrophage progenitor, donor3	No	No	No		Yes	granulocyte/macrophage progenitor cell	
CNhs11740	granulosa cell tumor cell line:KGN	No	Yes	Yes	female	Yes	KGN	Ovarian granulosa cell tumor
CNhs14067	H1 embryonic stem cells differentiation to CD34+ HSC, day00, biol_rep1	No	Yes	No		No	WA01	time courses
CNhs14068	H1 embryonic stem cells differentiation to CD34+ HSC, day00, biol_rep2	No	Yes	No		No	WA01	time courses
CNhs13964	H1 embryonic stem cells differentiation to CD34+ HSC, day00, biol_rep3	No	Yes	No		No	WA01	time courses
CNhs13965	H1 embryonic stem cells differentiation to CD34+ HSC, day03, biol_rep1	Yes	Yes	No		No	WA01	time courses
CNhs13966	H1 embryonic stem cells differentiation to CD34+ HSC, day03, biol_rep2	Yes	Yes	No		No	WA01	time courses
CNhs13968	H1 embryonic stem cells differentiation to CD34+ HSC, day03, biol_rep3	Yes	Yes	No		No	WA01	time courses
CNhs13969	H1 embryonic stem cells differentiation to CD34+ HSC, day09, biol_rep1	Yes	Yes	No		No	WA01	time courses
CNhs13970	H1 embryonic stem cells differentiation to CD34+ HSC, day09, biol_rep2	Yes	Yes	No		No	WA01	time courses
CNhs13971	H1 embryonic stem cells differentiation to CD34+ HSC, day09, biol_rep3	Yes	Yes	No		No	WA01	time courses
CNhs12822	H9 Embryoid body cells, melanocytic induction, day00, biol_rep1 (H9EB-1 d0)	Yes	Yes	No		No	H9EB	time courses
CNhs12825	H9 Embryoid body cells, melanocytic induction, day00, biol_rep2 (H9EB-2 d0)	Yes	Yes	No		No	H9EB	time courses
CNhs12908	H9 Embryoid body cells, melanocytic induction, day00, biol_rep3 (H9EB-3 d0)	Yes	Yes	No		No	H9EB	time courses
CNhs12823	H9 Embryoid body cells, melanocytic induction, day01, biol_rep1 (H9EB-1 d1)	Yes	Yes	No		No	H9EB	time courses
CNhs12826	H9 Embryoid body cells, melanocytic induction, day01, biol_rep2 (H9EB-2 d1)	Yes	Yes	No		No	H9EB	time courses
CNhs12909	H9 Embryoid body cells, melanocytic induction, day01, biol_rep3 (H9EB-3 d1)	Yes	Yes	No		No	H9EB	time courses
CNhs12895	H9 Embryoid body cells, melanocytic induction, day03, biol_rep1 (H9EB-1 d3)	Yes	Yes	No		No	H9EB	time courses
CNhs12827	H9 Embryoid body cells, melanocytic induction, day03, biol_rep2 (H9EB-2 d3)	Yes	Yes	No		No	H9EB	time courses
CNhs12910	H9 Embryoid body cells, melanocytic induction, day03, biol_rep3 (H9EB-3 d3)	Yes	Yes	No		No	H9EB	time courses
CNhs12896	H9 Embryoid body cells, melanocytic induction, day06, biol_rep1 (H9EB-1 d6)	Yes	Yes	No		No	H9EB	time courses
CNhs12828	H9 Embryoid body cells, melanocytic induction, day06, biol_rep2 (H9EB-2 d6)	Yes	Yes	No		No	H9EB	time courses
CNhs12911	H9 Embryoid body cells, melanocytic induction, day06, biol_rep3 (H9EB-3 d6)	Yes	Yes	No		No	H9EB	time courses
CNhs12897	H9 Embryoid body cells, melanocytic induction, day09, biol_rep1 (H9EB-1 d9)	Yes	Yes	No		No	H9EB	time courses
CNhs12829	H9 Embryoid body cells, melanocytic induction, day09, biol_rep2 (H9EB-2 d9)	Yes	Yes	No		No	H9EB	time courses
CNhs12951	H9 Embryoid body cells, melanocytic induction, day09, biol_rep3 (H9EB-3 d9)	Yes	Yes	No		No	H9EB	time courses
CNhs12948	H9 Embryoid body cells, melanocytic induction, day12, biol_rep1 (H9EB-1 d12)	Yes	Yes	No		No	H9EB	time courses
CNhs12994	H9 Embryoid body cells, melanocytic induction, day12, biol_rep1 (H9EB-1 d12)	Yes	Yes	No		No	H9EB	time courses
CNhs12830	H9 Embryoid body cells, melanocytic induction, day12, biol_rep2 (H9EB-2 d12)	Yes	Yes	No		No	H9EB	time courses
CNhs12949	H9 Embryoid body cells, melanocytic induction, day12, biol_rep3 (H9EB-3 d12)	Yes	Yes	No		No	H9EB	time courses
CNhs12995	H9 Embryoid body cells, melanocytic induction, day12, biol_rep3 (H9EB-3 d12)	Yes	Yes	No		No	H9EB	time courses
CNhs12898	H9 Embryoid body cells, melanocytic induction, day15, biol_rep1 (H9EB-1 d15)	Yes	Yes	No		No	H9EB	time courses
CNhs12831	H9 Embryoid body cells, melanocytic induction, day15, biol_rep2 (H9EB-2 d15)	Yes	Yes	No		No	H9EB	time courses
CNhs12912	H9 Embryoid body cells, melanocytic induction, day15, biol_rep3 (H9EB-3 d15)	Yes	Yes	No		No	H9EB	time courses
CNhs12899	H9 Embryoid body cells, melanocytic induction, day18, biol_rep1 (H9EB-1 d18)	Yes	Yes	No		No	H9EB	time courses
CNhs12832	H9 Embryoid body cells, melanocytic induction, day18, biol_rep2 (H9EB-2 d18)	Yes	Yes	No		No	H9EB	time courses
CNhs12914	H9 Embryoid body cells, melanocytic induction, day18, biol_rep3 (H9EB-3 d18)	Yes	Yes	No		No	H9EB	time courses
CNhs12900	H9 Embryoid body cells, melanocytic induction, day21, biol_rep1 (H9EB-1 d21)	Yes	Yes	No		No	H9EB	time courses
CNhs12833	H9 Embryoid body cells, melanocytic induction, day21, biol_rep2 (H9EB-2 d21)	Yes	Yes	No		No	H9EB	time courses
CNhs12915	H9 Embryoid body cells, melanocytic induction, day21, biol_rep3 (H9EB-3 d21)	Yes	Yes	No		No	H9EB	time courses
CNhs12901	H9 Embryoid body cells, melanocytic induction, day24, biol_rep1 (H9EB-1 d24)	Yes	Yes	No		No	H9EB	time courses
CNhs12834	H9 Embryoid body cells, melanocytic induction, day24, biol_rep2 (H9EB-2 d24)	Yes	Yes	No		No	H9EB	time courses
CNhs12916	H9 Embryoid body cells, melanocytic induction, day24, biol_rep3 (H9EB-3 d24)	Yes	Yes	No		No	H9EB	time courses
CNhs12902	H9 Embryoid body cells, melanocytic induction, day27, biol_rep1 (H9EB-1 d27)	Yes	Yes	No		No	H9EB	time courses
CNhs12835	H9 Embryoid body cells, melanocytic induction, day27, biol_rep2 (H9EB-2 d27)	Yes	Yes	No		No	H9EB	time courses
CNhs12917	H9 Embryoid body cells, melanocytic induction, day27, biol_rep3 (H9EB-3 d27)	Yes	Yes	No		No	H9EB	time courses
CNhs12903	H9 Embryoid body cells, melanocytic induction, day30, biol_rep1 (H9EB-1 d30)	Yes	Yes	No		No	H9EB	time courses
CNhs12836	H9 Embryoid body cells, melanocytic induction, day30, biol_rep2 (H9EB-2 d30)	Yes	Yes	No		No	H9EB	time courses
CNhs12918	H9 Embryoid body cells, melanocytic induction, day30, biol_rep3 (H9EB-3 d30)	Yes	Yes	No		No	H9EB	time courses
CNhs12904	H9 Embryoid body cells, melanocytic induction, day34, biol_rep1 (H9EB-1 d34)	Yes	Yes	No		No	H9EB	time courses
CNhs12906	H9 Embryoid body cells, melanocytic induction, day34, biol_rep2 (H9EB-2 d34)	Yes	Yes	No		No	H9EB	time courses
CNhs12919	H9 Embryoid body cells, melanocytic induction, day34, biol_rep3 (H9EB-3 d34)	Yes	Yes	No		No	H9EB	time courses
CNhs12905	H9 Embryoid body cells, melanocytic induction, day41, biol_rep1 (H9EB-1 d41)	Yes	Yes	No		No	H9EB	time courses
CNhs12907	H9 Embryoid body cells, melanocytic induction, day41, biol_rep2 (H9EB-2 d41)	Yes	Yes	No		No	H9EB	time courses
CNhs12950	H9 Embryoid body cells, melanocytic induction, day41, biol_rep3 (H9EB-3 d41)	Yes	Yes	No		No	H9EB	time courses
CNhs11917	H9 Embryonic Stem cells, biol_rep1 (H9ES-1)	No	Yes	No	female	Yes	WA09	
CNhs12824	H9 Embryonic Stem cells, biol_rep2 (H9ES-2)	No	Yes	No	female	Yes	WA09	
CNhs12837	H9 Embryonic Stem cells, biol_rep3 (H9ES-3)	No	Yes	No	female	Yes	WA09	
CNhs12501	Hair Follicle Dermal Papilla Cells, donor1	No	No	No	male	Yes	hair follicle dermal papilla cell	
CNhs11979	Hair Follicle Dermal Papilla Cells, donor2	No	No	No	female	Yes	hair follicle dermal papilla cell	
CNhs12030	Hair Follicle Dermal Papilla Cells, donor3	No	No	No	female	Yes	hair follicle dermal papilla cell	
CNhs12339	Hair Follicle Outer Root Sheath Cells, donor1	No	No	No		Yes	hair follicle outer root sheath cell	
CNhs12347	Hair Follicle Outer Root Sheath Cells, donor2	No	No	No		Yes	hair follicle outer root sheath cell	
CNhs11843	hairy cell leukemia cell line:Mo	No	Yes	Yes	male	Yes	Mo	Hairy cell leukemia
CNhs12855	heart - mitral valve, adult	No	No	No	male	Yes	mitral valve	
CNhs12856	heart - pulmonic valve, adult	No	No	No	male	Yes	pulmonic valve	
CNhs12857	heart - tricuspid valve, adult	No	No	No	male	Yes	tricuspid valve	
CNhs11757	heart, adult, diseased post-infarction, donor1	No	No	No	female	No	heart	post-infarction donor w/ diesease
CNhs11758	heart, adult, diseased, donor1	No	No	No	female	No	heart	donor w/ diesease
CNhs10621	heart, adult, pool1	No	No	No		Yes	heart	
CNhs10653	heart, fetal, pool1	No	No	No		Yes	heart (fetal)	
CNhs13479	Hep-2 cells mock treated, biol_rep1	No	Yes	Yes	female	No	HEp-2	Human papillomavirus-related endocervical adenocarcinoma; mock treated
CNhs13500	Hep-2 cells mock treated, biol_rep2	No	Yes	Yes	female	No	HEp-2	Human papillomavirus-related endocervical adenocarcinoma; mock treated
CNhs13501	Hep-2 cells mock treated, biol_rep3	No	Yes	Yes	female	No	HEp-2	Human papillomavirus-related endocervical adenocarcinoma; mock treated
CNhs13477	Hep-2 cells treated with Streptococci strain 5448, biol_rep1	Yes	Yes	Yes	female	No	HEp-2	
CNhs13496	Hep-2 cells treated with Streptococci strain 5448, biol_rep2	Yes	Yes	Yes	female	No	HEp-2	
CNhs13497	Hep-2 cells treated with Streptococci strain 5448, biol_rep3	Yes	Yes	Yes	female	No	HEp-2	
CNhs13478	Hep-2 cells treated with Streptococci strain JRS4, biol_rep1	Yes	Yes	Yes	female	No	HEp-2	
CNhs13498	Hep-2 cells treated with Streptococci strain JRS4, biol_rep2	Yes	Yes	Yes	female	No	HEp-2	
CNhs13499	Hep-2 cells treated with Streptococci strain JRS4, biol_rep3	Yes	Yes	Yes	female	No	HEp-2	
CNhs11868	hepatic mesenchymal tumor cell line:LI90	No	Yes	Yes	female	Yes	LI90	Epithelioid hemangioendothelioma
CNhs12075	Hepatic Sinusoidal Endothelial Cells, donor1	No	No	No		Yes	liver sinusoidal endothelial cell	
CNhs12092	Hepatic Sinusoidal Endothelial Cells, donor2	No	No	No		Yes	liver sinusoidal endothelial cell	
CNhs12625	Hepatic Sinusoidal Endothelial Cells, donor3	No	No	No		Yes	liver sinusoidal endothelial cell	
CNhs11335	Hepatic Stellate Cells (lipocyte), donor1	No	No	No		Yes	hepatic stellate cell	
CNhs12093	Hepatic Stellate Cells (lipocyte), donor2	No	No	No		Yes	hepatic stellate cell	
CNhs12627	Hepatic Stellate Cells (lipocyte), donor3	No	No	No		Yes	hepatic stellate cell	
CNhs11742	hepatoblastoma cell line:HuH-6	No	Yes	Yes	male	Yes	HuH-6	Hepatoblastoma
CNhs12328	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1	No	Yes	Yes	male	Yes	Hep-G2	Hepatoblastoma
CNhs12329	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2	No	Yes	Yes	male	Yes	Hep-G2	Hepatoblastoma
CNhs12330	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3	No	Yes	Yes	male	Yes	Hep-G2	Hepatoblastoma
CNhs12340	Hepatocyte, donor1	No	No	No		Yes	hepatocyte	
CNhs12349	Hepatocyte, donor2	No	No	No		Yes	hepatocyte	
CNhs12626	Hepatocyte, donor3	No	No	No		Yes	hepatocyte	
CNhs11271	hepatoma cell line:Li-7	No	Yes	Yes	male	Yes	Li-7	Hepatocellular carcinoma
CNhs13694	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day00, biol_rep1 (UH-1)	Yes	Yes	No		No	HES-3	time courses
CNhs13695	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day00, biol_rep2 (UH-2)	Yes	Yes	No		No	HES-3	time courses
CNhs13738	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day00, biol_rep3 (UH-3)	Yes	Yes	No		No	HES-3	time courses
CNhs13653	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day01, biol_rep1	Yes	Yes	No		No	HES-3	time courses
CNhs13712	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day01, biol_rep2	Yes	Yes	No		No	HES-3	time courses
CNhs13725	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day01, biol_rep3	Yes	Yes	No		No	HES-3	time courses
